id;titulo;descripcion;precio;categoria
1;Amarillo Supervisor Atún;Videojuegos;28652;Creativo Plástico software
2;Mascotas Comunidad Metal;Murcia;14603;Guapo Gris
3;Gris Corporativo Electrónica;Mascotas Verde;17765;Práctico
4;Baleares;capacidad;30798;Gorro Teclado Regional
5;Deportes;Adaptativo Genérico;268;Granito Centrado Global
6;Librería Contabilidad;Videojuegos Morado;31043;Genérico Facilitador
7;Ladrillo dedicada Baleares;Escalinata superestructura;4027;Planificador Sección
8;lateral Respuesta Increible;Morado Descentralizado;12745;Granito
9;sistemática;Gerente Queso;5805;Moda Región Diseñador
10;Distrito;en;19977;Monte Inversor Noruega
